season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,total_runs,total_wickets,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2010,13,12,357,29.75,138.91,47,5,2,0,56,0,0,0.0,0.0,0.0,,56,0,0,0,352,0,1687,0,1.230078483225128,0.0,4.238698184370274,1.829235049304061,Poor,71,68,1687,0,10,0,0,6
2011,13,13,358,27.53,122.18,44,5,1,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,352,0,1687,0,1.003999469097417,0.0,4.238698184370274,1.7388034437434081,Poor,71,68,1687,0,10,0,0,6
2012,12,12,200,18.18,108.69,21,4,1,0,82,0,0,0.0,0.0,0.0,,82,0,0,0,352,0,1687,0,0.329501645473139,0.0,4.238698184370274,1.4690043145634961,Poor,71,68,1687,0,10,0,0,6
2013,9,9,120,13.33,88.23,13,0,0,0,28,0,0,0.0,0.0,0.0,,28,0,0,0,352,0,1687,0,0.1176716380827569,0.0,4.238698184370274,1.3842723116920754,Poor,71,68,1687,0,10,0,0,6
2025,1,1,20,20.0,200.0,1,2,0,0,20,1,0,0.0,0.0,0.0,,20,0,0,0,353,0,20,0,0.0667012713140279,0.0,3.2211270225032544,1.0428658194617324,Poor,1,1,20,0,0,0,1,1
2013,2,2,14,7.0,107.69,3,0,0,0,14,0,0,0.0,0.0,0.0,,14,0,0,0,354,0,14,0,0.0087992483974978,0.0,3.231727729217035,1.0230492691361146,Poor,2,2,14,0,0,0,0,1
2016,5,3,13,13.0,162.5,0,1,0,0,12*,0,2,88.5,11.06,48.0,1/38,12,1,1,38,356,0,13,2,0.0228972958058621,0.0581394758374685,3.263529849358378,1.0561631072811213,Poor,5,3,13,2,0,0,0,1
2021,9,7,65,16.25,118.18,5,3,0,0,16*,0,9,29.88,9.6,18.66,3/41,16,1,3,41,357,0,77,11,0.1040770160122191,0.8927506918725736,2.0578641222368743,0.9586608659853637,Poor,11,8,77,11,0,0,0,2
2026,2,1,12,12.0,92.3,1,1,0,0,12,0,2,45.0,12.85,21.0,42/1,12,0,42,1,357,0,77,11,0.0110817492241469,0.0984133166371364,2.0578641222368743,0.6831615469750031,Poor,11,8,77,11,0,0,0,2
2023,13,13,379,29.15,144.1,38,22,4,0,73,2,0,0.0,0.0,0.0,,73,0,0,0,358,0,379,0,1.3273512837551569,0.0,3.3483355030686255,1.5872569297479282,Poor,13,13,379,0,4,0,2,1
2008,3,3,40,20.0,153.84,5,1,0,0,23*,0,0,0.0,0.0,0.0,,23,1,0,0,359,0,40,0,0.1026132357653866,0.0,3.2423284359308164,1.0639191228635785,Poor,3,3,40,0,0,0,0,1
2008,9,1,0,0.0,0.0,0,0,0,0,0*,0,11,26.0,8.66,18.0,5/24,0,1,5,24,360,0,36,65,8.337658905498946e-31,1.3900837202466587,3.3736306172000416,1.4813215106339233,Poor,65,15,36,65,0,0,0,6
2009,13,4,4,1.33,40.0,0,0,0,0,2*,0,13,24.3,8.46,17.23,5/24,2,1,5,24,360,0,36,65,0.0001774253833309,1.799310969368829,3.3736306172000416,1.6041606554010674,Poor,65,15,36,65,0,0,0,6
2010,7,3,18,9.0,90.0,1,1,0,0,15,0,7,29.57,8.87,20.0,5/24,15,0,5,24,360,0,36,65,0.0121563067058286,0.7593860379265344,3.3736306172000416,1.2969747288045643,Poor,65,15,36,65,0,0,0,6
2011,14,2,4,0.0,200.0,0,0,0,0,3*,0,10,37.1,8.36,26.6,5/24,3,1,5,24,360,0,36,65,6.670127141407982e-12,0.9174012447174348,3.3736306172000416,1.339516768119629,Poor,65,15,36,65,0,0,0,6
2013,13,3,9,9.0,90.0,1,0,0,0,9*,0,12,32.25,7.74,25.0,5/24,9,1,5,24,360,0,36,65,0.006078153356291,1.367886547060202,3.3736306172000416,1.4770936200247307,Poor,65,15,36,65,0,0,0,6
2014,9,2,1,1.0,33.33,0,0,0,0,1*,0,12,24.91,8.79,17.0,5/24,1,1,5,24,360,0,36,65,2.7789417696153986e-05,1.559402246110715,3.3736306172000416,1.532128184109412,Poor,65,15,36,65,0,0,0,6
2021,7,5,68,34.0,93.15,7,0,0,0,22*,0,4,25.25,7.21,21.0,2/13,22,1,2,13,361,0,305,10,0.1795621568318141,0.625176805137214,2.7761500313917113,1.1351840623003198,Poor,27,21,305,10,0,0,10,4
2022,12,8,161,23.0,110.27,11,7,0,0,48*,6,4,37.5,8.33,27.0,11/2,48,1,11,2,361,0,305,10,0.340451467872762,0.3643537426272643,2.7761500313917113,1.121292867977605,Poor,27,21,305,10,0,0,10,4
2023,6,6,66,13.2,111.86,8,0,0,0,38,4,2,59.0,9.07,39.0,29/1,38,0,29,1,361,0,305,10,0.0812525138338627,0.1063433190625985,2.7761500313917113,0.9402101594737284,Poor,27,21,305,10,0,0,10,4
2024,2,2,10,5.0,83.33,1,0,0,0,7,0,0,0.0,0.0,0.0,,7,0,0,0,361,0,305,10,0.0034738855938146,0.0,2.7761500313917113,0.8771957125219441,Poor,27,21,305,10,0,0,10,4
2009,13,3,0,0.0,0.0,0,0,0,0,0*,0,18,17.33,6.3,16.5,5/13,0,1,5,13,362,0,88,154,8.337658905498946e-31,4.691080704498155,3.984504254996991,2.6643360157820872,Average,110,25,88,154,0,0,0,8
2010,13,2,1,0.0,100.0,0,0,0,0,1*,0,15,22.93,7.02,19.6,5/13,1,1,5,13,362,0,88,154,8.337658989709301e-13,2.651487621648307,3.984504254996991,2.0524580915393438,Average,110,25,88,154,0,0,0,8
2011,16,4,8,2.66,88.88,0,1,0,0,7,0,28,13.39,5.95,13.5,5/13,7,0,5,13,362,0,88,154,0.0015769567989291,10.0,3.984504254996991,4.257642585558905,Good,110,25,88,154,0,0,0,8
2012,14,6,55,9.16,103.77,4,3,0,0,17,0,22,15.9,6.3,15.13,5/13,17,0,5,13,362,0,88,154,0.0435887188594499,6.249201359620857,3.984504254996991,3.1492076993778055,Average,110,25,88,154,0,0,0,8
2013,17,6,9,2.25,50.0,1,0,0,0,7,0,20,23.4,7.16,19.6,5/13,7,0,5,13,362,0,88,154,0.0008441879690405,3.396570455669754,3.984504254996991,2.2763206167091985,Average,110,25,88,154,0,0,0,8
2014,10,1,2,2.0,50.0,0,0,0,0,2,0,16,15.81,6.45,14.68,5/13,2,0,5,13,362,0,88,154,0.0001667531798108,4.464449447982595,3.984504254996991,2.596413340167266,Average,110,25,88,154,0,0,0,8
2015,15,1,6,0.0,60.0,1,0,0,0,6*,0,24,18.5,7.4,15.0,5/13,6,1,5,13,362,0,88,154,3.0015572114824753e-12,4.988239593910945,3.984504254996991,2.7534836825179765,Average,110,25,88,154,0,0,0,8
2017,12,2,7,0.0,233.33,0,1,0,0,7*,0,11,34.72,8.52,24.45,5/13,7,1,5,13,362,0,88,154,1.361798168697838e-11,1.058066309398842,3.984504254996991,1.5744316983476445,Poor,110,25,88,154,0,0,0,8
2008,13,12,163,20.37,133.6,17,5,0,0,42,0,6,20.66,10.33,12.0,3/25,42,0,3,25,363,0,405,15,0.3698530597652514,0.799944992358139,3.510659808079642,1.4954504114064417,Poor,47,34,405,15,0,0,0,7
2009,9,6,83,16.6,97.64,5,3,0,0,48*,0,3,33.33,7.14,28.0,3/25,48,1,3,25,363,0,405,15,0.1121651846526962,0.3586965852723975,3.510659808079642,1.2600007394711468,Poor,47,34,405,15,0,0,0,7
2010,4,2,36,18.0,138.46,3,2,0,0,19,0,3,35.33,8.83,24.0,3/25,19,0,3,25,363,0,405,15,0.074807210000931,0.273625410954385,3.510659808079642,1.2195361973555015,Poor,47,34,405,15,0,0,0,7
